longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,bedrooms_per_rooms,population_per_household,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
-122.23,37.88,41,880,129,322,126,8.3252,1.023809524,0.146590909,2.555555556,0,0,0,1,0,452600
-122.22,37.86,21,7099,1106,2401,1138,8.3014,0.971880492,0.155796591,2.109841828,0,0,0,1,0,358500
-122.24,37.85,52,1467,190,496,177,7.2574,1.073446328,0.129516019,2.802259887,0,0,0,1,0,352100
-122.25,37.85,52,1274,235,558,219,5.6431,1.073059361,0.184458399,2.547945205,0,0,0,1,0,341300
-122.25,37.85,52,1627,280,565,259,3.8462,1.081081081,0.172095882,2.181467181,0,0,0,1,0,342200
-122.25,37.85,52,919,213,413,193,4.0368,1.103626943,0.231773667,2.139896373,0,0,0,1,0,269700
-122.25,37.84,52,2535,489,1094,514,3.6591,0.951361868,0.192899408,2.128404669,0,0,0,1,0,299200
-122.25,37.84,52,3104,687,1157,647,3.12,1.061823802,0.22132732,1.788253478,0,0,0,1,0,241400
-122.26,37.84,42,2555,665,1206,595,2.0804,1.117647059,0.260273973,2.026890756,0,0,0,1,0,226700
-122.25,37.84,52,3549,707,1551,714,3.6912,0.990196078,0.199211045,2.172268908,0,0,0,1,0,261100
-122.26,37.85,52,2202,434,910,402,3.2031,1.07960199,0.197093551,2.263681592,0,0,0,1,0,281500
-122.26,37.85,52,3503,752,1504,734,3.2705,1.024523161,0.214673137,2.049046322,0,0,0,1,0,241800
-122.26,37.85,52,2491,474,1098,468,3.075,1.012820513,0.190285026,2.346153846,0,0,0,1,0,213500
-122.26,37.84,52,696,191,345,174,2.6736,1.097701149,0.274425287,1.982758621,0,0,0,1,0,191300
-122.26,37.85,52,2643,626,1212,620,1.9167,1.009677419,0.236852062,1.95483871,0,0,0,1,0,159200
-122.26,37.85,50,1120,283,697,264,2.125,1.071969697,0.252678571,2.640151515,0,0,0,1,0,140000
-122.27,37.85,52,1966,347,793,331,2.775,1.048338369,0.176500509,2.395770393,0,0,0,1,0,152500
